,area,city,country,latitude,longitude,hotel_star_rating,mmt_location_rating,mmt_review_count,mmt_review_rating,mmt_review_score,mmt_traveller_type_review_count,Couple,Solo,Friends,Business,pageurl,property_address,property_name,property_type,room_types,state,traveller_rating
1,Jammu-Pathankot Highway NH-1A,Jammu,India,32.596574,74.959716,4,Location:4.2,18,Excellent:14|Very Good:0|Average:1|Poor:2|Terrible:1,4.3,Family:6,5,5,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=IXJ&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201305251707236820&i=|2,"NH A1, Vijaypur",Hotel 17 Miles,Hotel,Deluxe Room,Jammu and Kashmir,Location:4.2/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.4/5 | Value for Money:4.3/5 | Food:2.9/5
2,Robinson,Palakkad,India,10.769421,76.656247,3,Location:4.6,36,Excellent:22|Very Good:6|Average:6|Poor:2|Terrible:0,4.4,Family:11,4,16,0,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XPK&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201409290936463700&i=|2,"Robinson Road, Palakkad Palakkad",Sayoojyam Residency,Hotel,Premium Room.|Executive Deluxe|Suite,Kerala,Location:4.6/5 | Hospitality:4.3/5 | Facilities:4.2/5 | Cleanliness:4.3/5 | Value for Money:4.3/5 | Food:1.9/5
3,Central avenue,Nagpur,India,21.151397,79.098131,1,Location:3.8,32,Excellent:3|Very Good:4|Average:6|Poor:18|Terrible:1,3.1,Family:4,1,17,0,2,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=NAG&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201107170934056681&i=|2,"51, Central Avenue Opp. Gitanjali Cinema",Hotel Woodlands,Hotel,Woods Deluxe|Woods Royal Deluxe|Woods Executive Suite,Maharashtra,Location:3.8/5 | Hospitality:2.7/5 | Facilities:2.9/5 | Cleanliness:3.0/5 | Value for Money:2.8/5 | Food:2.0/5
4,Loghut Road,Manali,India,32.248894,77.185981,2,Location:4.6,33,Excellent:23|Very Good:3|Average:4|Poor:3|Terrible:0,4.5,Family:15,12,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=KUU&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200707121231385584&i=|2,"CIRCUIT HOUSE, NEAR MALL ROAD Hadimba Road",Snow Line,Hotel,Deluxe|Luxury|Suite,Himachal Pradesh,Location:4.6/5 | Hospitality:4.6/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:1.4/5
5,Suryanelli,Munnar,India,10.042304,77.178551,3,Location:4.2,61,Excellent:26|Very Good:9|Average:15|Poor:8|Terrible:3,3.9,Family:24,17,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200904230920306389&i=|2,"Chinnakkanal, Munnar Chinnakanal, Munnar",Holiday Heaven,Hotel,Villa|Two Bedroom Villa,Kerala,Location:4.2/5 | Hospitality:4.1/5 | Facilities:3.8/5 | Cleanliness:3.9/5 | Value for Money:4.0/5 | Food:3.7/5
6,Ballygunge,Kolkata,India,22.533848,88.353182,3,Location:4.1,47,Excellent:15|Very Good:5|Average:17|Poor:7|Terrible:3,3.7,Family:2,11,8,1,3,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=CCU&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200701111339522408&i=|2,"35A, Sarat Bose Road Bhawanipur,South Kolkata",The Samilton,Hotel,Standard|Superior Room,West Bengal,Location:4.1/5 | Hospitality:3.9/5 | Facilities:3.5/5 | Cleanliness:3.7/5 | Value for Money:3.5/5 | Food:2.9/5
7,Kunchithanny,Munnar,India,9.989989,77.06995,3,Location:4.6,13,Excellent:9|Very Good:2|Average:0|Poor:2|Terrible:0,4.4,Family:3,8,0,1,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XMN&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201411061037569882&i=|2,"Thekkinkanam, Munnar, Idukki, Kerala Kunjithanni, Munnar",The Aruvi Resort,Hotel,Cottage Garden View,kerala,Location:4.6/5 | Hospitality:4.5/5 | Facilities:4.4/5 | Cleanliness:4.2/5 | Value for Money:4.5/5 | Food:4.2/5
8,Mallital,Nainital,India,29.398018,79.444534,2,Location:2.8,9,Excellent:1|Very Good:1|Average:3|Poor:3|Terrible:1,3.1,Family:2,1,0,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XNT&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=200701171726257696&i=|2,"Alpine Club, Aryapatta Hill,Near Aurobindo Ashram Near Arbindo Ashram Ayarpatta Mallital",Alpine Club,Hotel,Luxury Studio,Uttaranchal,Location:2.8/5 | Hospitality:2.2/5 | Facilities:3.0/5 | Cleanliness:3.2/5 | Value for Money:2.8/5 | Food:0.8/5
9,Chaturbhuj,Orchha,India,25.351837,78.636118,1,Location:4.9,9,Excellent:8|Very Good:0|Average:1|Poor:0|Terrible:0,4.8,Family:3,2,1,0,0,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XOR&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=20140827145816799&i=|2,Behind Ram Raja temple near laxmi mandir road,Hotel Sunset,Hotel,`standard|Ac Room,Madhya Pradesh,Location:4.9/5 | Hospitality:4.8/5 | Facilities:4.8/5 | Cleanliness:4.2/5 | Value for Money:4.8/5 | Food:1.7/5
10,Hawa Beach,Kovalam and Poovar,India,8.38637,76.978122,3,Location:4.6,88,Excellent:20|Very Good:16|Average:23|Poor:19|Terrible:10,3.5,Family:44,20,4,2,1,https://hotelz.makemytrip.com/makemytrip/site/hotels/detail?&city=XOV&country=IN&checkin=10042016&checkout=10052016&area=&roomStayQualifier=1e0e&hotelId=201105281718097826&i=|2,"Hawa Beach, Kovalam Hawa Beach, Kovalam",Hotel Pappukutty Beach Resort,Hotel,Waves Non Ac|Waves Ac|Sea Flower Non Ac|Sea Flower Ac|Sea Coast Non Ac|Sea Coast Ac|Arabian Sea Ac|Suite Family Room,Kerala,Location:4.6/5 | Hospitality:3.2/5 | Facilities:3.2/5 | Cleanliness:3.2/5 | Value for Money:3.3/5 | Food:2.9/5
